timestamp_inicio_execucao,n_threads,repeticao,tipo,tempo_s,tamanho_matriz,n_tarefas,nucleos_fisicos,threads_logicas
2026-06-16T07:40:54,8,7,valida,0.303194,800,16,6,12
2026-06-16T07:40:54,3,13,valida,0.363009,800,16,6,12
2026-06-16T07:40:54,8,8,valida,0.371732,800,16,6,12
2026-06-16T07:40:55,4,11,valida,0.317607,800,16,6,12
2026-06-16T07:40:55,4,-3,warmup,0.325518,800,16,6,12
2026-06-16T07:40:55,4,25,valida,0.339046,800,16,6,12
2026-06-16T07:40:56,4,29,valida,0.328146,800,16,6,12
2026-06-16T07:40:56,6,0,valida,0.371999,800,16,6,12
2026-06-16T07:40:56,2,18,valida,0.343882,800,16,6,12
2026-06-16T07:40:57,1,13,valida,0.527425,800,16,6,12
2026-06-16T07:40:57,6,14,valida,0.373461,800,16,6,12
2026-06-16T07:40:58,4,0,valida,0.346861,800,16,6,12
2026-06-16T07:40:58,3,11,valida,0.439385,800,16,6,12
2026-06-16T07:40:59,12,13,valida,0.497603,800,16,6,12
2026-06-16T07:40:59,6,27,valida,0.305717,800,16,6,12
2026-06-16T07:40:59,1,11,valida,0.518854,800,16,6,12
2026-06-16T07:41:00,3,14,valida,0.403641,800,16,6,12
2026-06-16T07:41:00,12,-2,warmup,0.488625,800,16,6,12
2026-06-16T07:41:01,3,0,valida,0.307038,800,16,6,12
2026-06-16T07:41:01,6,22,valida,0.334047,800,16,6,12
2026-06-16T07:41:01,4,16,valida,0.323916,800,16,6,12
2026-06-16T07:41:02,6,18,valida,0.333694,800,16,6,12
2026-06-16T07:41:02,12,24,valida,0.357961,800,16,6,12
2026-06-16T07:41:02,6,1,valida,0.305339,800,16,6,12
2026-06-16T07:41:03,2,7,valida,0.338200,800,16,6,12
2026-06-16T07:41:03,1,15,valida,0.585928,800,16,6,12
2026-06-16T07:41:04,3,-3,warmup,0.362512,800,16,6,12
2026-06-16T07:41:04,2,17,valida,0.497305,800,16,6,12
2026-06-16T07:41:04,3,21,valida,0.443555,800,16,6,12
2026-06-16T07:41:05,3,25,valida,0.451448,800,16,6,12
2026-06-16T07:41:05,2,5,valida,0.506384,800,16,6,12
2026-06-16T07:41:06,3,24,valida,0.419345,800,16,6,12
2026-06-16T07:41:06,4,14,valida,0.338076,800,16,6,12
2026-06-16T07:41:07,12,18,valida,0.417466,800,16,6,12
2026-06-16T07:41:07,12,3,valida,0.322749,800,16,6,12
2026-06-16T07:41:07,1,22,valida,0.524430,800,16,6,12
2026-06-16T07:41:08,12,9,valida,0.433565,800,16,6,12
2026-06-16T07:41:08,8,4,valida,0.328328,800,16,6,12
2026-06-16T07:41:09,3,5,valida,0.325726,800,16,6,12
2026-06-16T07:41:09,2,22,valida,0.414177,800,16,6,12
2026-06-16T07:41:09,8,9,valida,0.355284,800,16,6,12
2026-06-16T07:41:10,1,14,valida,0.541591,800,16,6,12
2026-06-16T07:41:10,2,13,valida,0.385579,800,16,6,12
2026-06-16T07:41:11,6,12,valida,0.367118,800,16,6,12
2026-06-16T07:41:11,3,23,valida,0.344004,800,16,6,12
2026-06-16T07:41:11,6,23,valida,0.418142,800,16,6,12
2026-06-16T07:41:12,6,25,valida,0.396198,800,16,6,12
2026-06-16T07:41:12,3,6,valida,0.359288,800,16,6,12
2026-06-16T07:41:12,6,6,valida,0.349322,800,16,6,12
2026-06-16T07:41:13,1,17,valida,0.616269,800,16,6,12
2026-06-16T07:41:13,3,27,valida,0.351907,800,16,6,12
2026-06-16T07:41:14,1,28,valida,0.615983,800,16,6,12
2026-06-16T07:41:15,6,2,valida,0.488404,800,16,6,12
2026-06-16T07:41:15,4,15,valida,0.413677,800,16,6,12
2026-06-16T07:41:15,1,8,valida,0.532715,800,16,6,12
2026-06-16T07:41:16,3,-2,warmup,0.363449,800,16,6,12
2026-06-16T07:41:16,12,7,valida,0.482175,800,16,6,12
2026-06-16T07:41:17,3,19,valida,0.411089,800,16,6,12
2026-06-16T07:41:17,3,22,valida,0.424375,800,16,6,12
2026-06-16T07:41:18,1,21,valida,0.525924,800,16,6,12
2026-06-16T07:41:18,3,28,valida,0.344801,800,16,6,12
2026-06-16T07:41:19,12,11,valida,0.481588,800,16,6,12
2026-06-16T07:41:19,12,20,valida,0.408031,800,16,6,12
2026-06-16T07:41:19,3,17,valida,0.382909,800,16,6,12
2026-06-16T07:41:20,12,10,valida,0.393727,800,16,6,12
2026-06-16T07:41:20,2,3,valida,0.329445,800,16,6,12
2026-06-16T07:41:20,8,28,valida,0.368277,800,16,6,12
2026-06-16T07:41:21,3,18,valida,0.315921,800,16,6,12
2026-06-16T07:41:21,12,14,valida,0.424911,800,16,6,12
2026-06-16T07:41:21,8,10,valida,0.321309,800,16,6,12
2026-06-16T07:41:22,2,4,valida,0.332690,800,16,6,12
2026-06-16T07:41:22,8,26,valida,0.357334,800,16,6,12
2026-06-16T07:41:23,1,-2,warmup,0.527409,800,16,6,12
2026-06-16T07:41:23,3,2,valida,0.367399,800,16,6,12
2026-06-16T07:41:23,6,15,valida,0.416690,800,16,6,12
2026-06-16T07:41:24,4,12,valida,0.403414,800,16,6,12
2026-06-16T07:41:24,2,20,valida,0.404926,800,16,6,12
2026-06-16T07:41:25,4,5,valida,0.332705,800,16,6,12
2026-06-16T07:41:25,12,17,valida,0.404317,800,16,6,12
2026-06-16T07:41:25,8,11,valida,0.308819,800,16,6,12
2026-06-16T07:41:26,8,-2,warmup,0.301086,800,16,6,12
2026-06-16T07:41:26,8,15,valida,0.305323,800,16,6,12
2026-06-16T07:41:26,2,14,valida,0.336122,800,16,6,12
2026-06-16T07:41:27,6,8,valida,0.347199,800,16,6,12
2026-06-16T07:41:27,12,27,valida,0.389204,800,16,6,12
2026-06-16T07:41:27,6,19,valida,0.314801,800,16,6,12
2026-06-16T07:41:28,4,27,valida,0.316825,800,16,6,12
2026-06-16T07:41:28,2,23,valida,0.359651,800,16,6,12
2026-06-16T07:41:28,2,19,valida,0.338996,800,16,6,12
2026-06-16T07:41:29,1,20,valida,0.583756,800,16,6,12
2026-06-16T07:41:30,1,4,valida,0.715399,800,16,6,12
2026-06-16T07:41:30,1,5,valida,0.707917,800,16,6,12
2026-06-16T07:41:31,4,6,valida,0.454177,800,16,6,12
2026-06-16T07:41:31,6,16,valida,0.412198,800,16,6,12
2026-06-16T07:41:32,1,19,valida,0.526898,800,16,6,12
2026-06-16T07:41:32,6,4,valida,0.367450,800,16,6,12
2026-06-16T07:41:33,12,26,valida,0.450965,800,16,6,12
2026-06-16T07:41:33,8,5,valida,0.500796,800,16,6,12
2026-06-16T07:41:34,1,23,valida,0.628673,800,16,6,12
2026-06-16T07:41:34,8,20,valida,0.403455,800,16,6,12
2026-06-16T07:41:34,2,-3,warmup,0.385996,800,16,6,12
2026-06-16T07:41:35,2,21,valida,0.414269,800,16,6,12
2026-06-16T07:41:35,2,26,valida,0.471380,800,16,6,12
2026-06-16T07:41:36,3,1,valida,0.431925,800,16,6,12
2026-06-16T07:41:36,8,21,valida,0.462968,800,16,6,12
2026-06-16T07:41:37,1,3,valida,0.617517,800,16,6,12
2026-06-16T07:41:38,1,25,valida,0.676369,800,16,6,12
2026-06-16T07:41:38,6,28,valida,0.488768,800,16,6,12
